Currency,1 EUR in Currency,1 USD in Currency
AED,3.78,3.67
AFN,91.66,89.14
ALL,116.81,113.60
AMD,408.82,397.58
ANG,1.86,1.81
AOA,525.59,511.14
AUD,1.55,1.50
AWG,1.85,1.80
AZN,1.75,1.70
BAM,1.95,1.90
BBD,2.06,2.00
BDT,106.52,103.59
BGN,1.95,1.89
BHD,0.39,0.38
BIF,"2,139.25","2,080.45"
BMD,1.03,1.00
BND,1.42,1.38
BOB,7.14,6.95
BRL,5.54,5.38
BSD,1.03,1.00
BTN,84.42,82.10
BWP,13.39,13.02
BYN,2.61,2.54
BZD,2.08,2.03
CAD,1.38,1.34
CDF,"2,124.20","2,065.82"
CHF,0.98,0.96
CLF,0.04,0.03
CLP,968.41,941.80
CNH,7.36,7.16
CNY,7.36,7.16
COP,"5,182.85","5,040.41"
CRC,631.08,613.74
CUC,1.03,1.00
CVE,109.87,106.85
CZK,24.36,23.69
DJF,184.02,178.96
DKK,7.44,7.23
DOP,56.39,54.84
DZD,143.10,139.17
EGP,25.31,24.62
ERN,15.42,15.00
EUR,1.00,0.97
FJD,2.29,2.23
FKP,0.87,0.85
GBP,0.87,0.85
GEL,2.80,2.72
GGP,0.87,0.85
GHS,14.99,14.58
GIP,0.87,0.85
GMD,63.24,61.50
GNF,"8,907.85","8,663.03"
GTQ,8.07,7.85
GYD,216.26,210.32
HKD,8.03,7.81
HNL,25.55,24.84
HRK,7.52,7.31
HTG,142.64,138.72
HUF,407.36,396.17
IDR,"16,153.28","15,709.34"
ILS,3.57,3.47
IMP,0.87,0.85
INR,84.10,81.79
IQD,"1,508.66","1,467.20"
IRR,"43,598.21","42,400.00"
ISK,148.91,144.82
JEP,0.87,0.85
JMD,158.92,154.55
JOD,0.73,0.71
JPY,144.52,140.55
KES,125.50,122.05
KGS,86.45,84.07
KHR,"4,279.16","4,161.56"
KMF,489.97,476.50
KPW,925.43,900.00
KRW,"1,392.09","1,353.83"
KWD,0.32,0.31
KYD,0.86,0.84
KZT,477.51,464.39
LAK,"17,937.45","17,444.47"
LKR,379.87,369.43
LRD,158.35,154.00
LSL,17.88,17.39
LYD,5.06,4.92
MAD,11.07,10.76
MDL,19.82,19.28
MGA,"4,469.10","4,346.28"
MKD,61.44,59.75
MNT,"3,503.24","3,406.97"
MOP,8.33,8.10
MRU,39.31,38.23
MUR,45.04,43.80
MVR,15.85,15.41
MWK,"1,060.97","1,031.81"
MXN,20.03,19.48
MYR,4.70,4.57
MZN,65.65,63.85
NAD,17.86,17.37
NGN,455.33,442.81
NIO,37.21,36.19
NOK,10.53,10.24
NPR,135.08,131.37
NZD,1.68,1.63
OMR,0.40,0.39
PAB,1.03,1.00
PEN,3.94,3.83
PGK,3.64,3.54
PHP,58.91,57.29
PKR,231.67,225.31
PLN,4.70,4.57
PYG,"7,412.08","7,208.37"
QAR,3.78,3.68
RON,4.94,4.81
RSD,116.86,113.65
RUB,62.33,60.61
RWF,"1,116.73","1,086.04"
SAR,3.87,3.76
SBD,8.46,8.23
SCR,13.98,13.59
SDG,585.59,569.50
SEK,10.99,10.69
SGD,1.42,1.38
SHP,0.87,0.85
SLL,"18,164.21","17,665.00"
SOS,587.63,571.48
SRD,31.51,30.64
STD,"23,468.99","22,823.99"
STN,24.47,23.80
SVC,9.04,8.80
SYP,"2,583.53","2,512.53"
SZL,17.88,17.39
THB,37.08,36.07
TJS,10.55,10.26
TMT,3.61,3.51
TND,3.25,3.16
TOP,2.44,2.37
TRY,19.13,18.60
TTD,7.02,6.82
TWD,32.07,31.19
TZS,"2,397.90","2,332.00"
UAH,38.18,37.13
UGX,"3,860.79","3,754.69"
USD,1.03,1.00
UYU,41.27,40.13
UZS,"11,589.23","11,270.72"
VES,9.82,9.55
VND,"25,524.63","24,823.14"
VUV,125.71,122.26
WST,2.87,2.79
XAF,655.96,637.93
XAG,0.05,0.05
XCD,2.78,2.70
XDR,0.77,0.74
XOF,655.96,637.93
XPF,119.33,116.05
YER,257.34,250.27
ZAR,17.88,17.39
ZMW,17.23,16.75
ZWL,331.10,322.00
